"gene_name","Col0_0h_rep1","Col0_0h_rep2","Col0_0h_rep3","Col0_24h_rep1","Col0_24h_rep2","Col0_24h_rep3"
"AT5G67310","1","47","103","9","50","41"
"AT5G67320","2506","2249","2111","2171","2170","1642"
"AT5G67330","1274","1293","965","1368","1265","1018"
"AT5G67340","316","1062","2229","1704","2242","2629"
"AT5G67350","129","237","377","211","267","239"
"AT5G67360","9510","8244","7416","7782","6838","5413"
"AT5G67370","107","119","74","109","77","70"
"AT5G67380","4697","3664","2881","3932","4102","2950"
"AT5G67385","2597","2102","2045","2018","2205","1227"
"AT5G67390","995","829","1055","1018","830","730"
"AT5G67400","582","308","529","116","32","27"
"AT5G67410","38","34","58","38","40","38"
"AT5G67411","4","8","6","13","13","5"
"AT5G67420","3871","5151","5043","6321","6904","6476"
"AT5G67430","111","384","535","392","986","738"
"AT5G67440","1001","809","783","807","1003","731"
"AT5G67450","150","246","302","471","525","550"
"AT5G67460","167","149","147","96","94","55"
"AT5G67455","0","0","0","0","0","0"
"AT5G67470","1513","1538","1585","1434","1493","1353"
"AT5G67480","1667","876","602","1031","1055","681"
"AT5G67488","3","0","0","0","0","1"
"AT5G67490","15","16","17","17","15","16"
"AT5G67500","4321","4242","5262","3863","4220","4065"
"AT5G67510","741","956","1404","1018","1013","791"
"AT5G67520","474","420","357","829","704","512"
"AT5G67530","855","774","815","833","778","664"
"AT5G67540","859","789","850","865","872","791"
"AT5G67550","91","124","526","87","63","60"
"AT5G67560","3080","2997","2998","3511","3555","3037"
"AT5G67570","2614","1995","1011","1121","1241","659"
"AT5G67580","887","820","885","728","845","811"
"AT5G67590","2730","2875","3214","2328","2330","2243"
"AT5G67600","1490","1708","1388","1365","1643","1662"
"AT5G67610","507","531","500","628","627","532"
"AT5G67620","134","91","127","167","221","147"
"AT5G67630","466","591","722","603","784","676"
"AT5G67640","109","106","144","108","130","89"
"ATCG00010","12","17","4","5","11","4"
"ATCG00020","116","101","48","99","137","89"
"ATCG00030","0","7","5","0","5","2"
"ATCG00040","53","106","43","22","63","53"
"ATCG00050","1","3","1","1","2","1"
"ATCG00060","0","0","0","0","0","0"
"ATCG00070","22","36","18","11","25","19"
"ATCG00080","36","25","30","18","37","17"
"ATCG00090","19","24","10","7","22","16"
"ATCG00100","8","12","5","11","10","8"
"ATCG00110","3","7","1","2","6","2"
"ATCG00120","144","201","83","88","185","126"
"ATCG00130","61","80","32","37","85","46"
"ATCG00140","58","61","28","32","70","38"
"ATCG00150","50","53","25","21","65","20"
"ATCG00160","14","21","12","11","14","7"
"ATCG00170","89","85","72","36","95","53"
"ATCG00180","166","153","102","37","124","62"
"ATCG00190","580","476","321","129","344","141"
"ATCG00200","1","1","1","0","0","0"
"ATCG00210","5","2","2","3","7","1"
"ATCG00220","28","17","7","14","27","9"
"ATCG00230","0","0","1","0","0","0"
"ATCG00240","0","0","1","0","0","0"
"ATCG00250","0","0","2","0","1","0"
"ATCG00260","0","0","0","0","0","0"
"ATCG00270","110","120","44","45","113","61"
"ATCG00280","171","227","74","95","203","109"
"ATCG00290","3","6","1","4","5","2"
"ATCG00300","12","13","7","2","11","4"
"ATCG00310","0","0","0","0","0","1"
"ATCG00320","2","1","0","0","1","0"
"ATCG00330","49","56","23","31","47","39"
"ATCG00340","199","259","82","128","267","179"
"ATCG00350","172","250","57","126","256","152"
"ATCG00360","21","23","13","9","26","8"
"ATCG00370","6","11","3","0","8","7"
"ATCG00380","24","33","7","7","25","20"
"ATCG00390","5","1","2","1","1","2"
"ATCG00400","14","14","10","20","13","14"
"ATCG00410","0","3","1","0","0","1"
"ATCG00420","7","7","7","5","10","15"
"ATCG00430","19","19","14","17","21","11"
"ATCG00440","4","10","8","4","8","10"
"ATCG00450","5","5","2","2","7","1"
"ATCG00460","0","0","1","0","1","1"
"ATCG00470","124","91","62","36","87","48"
"ATCG00480","332","319","196","150","305","165"
"ATCG00490","811","878","244","312","627","312"
"ATCG00500","19","27","11","23","29","40"
"ATCG00510","13","12","5","5","10","12"
"ATCG00520","18","36","7","11","32","14"
"ATCG00530","50","65","21","37","47","37"
"ATCG00540","43","66","24","28","69","42"
"ATCG00550","29","30","7","19","36","15"
"ATCG00560","25","3","10","6","15","13"
"ATCG00570","6","5","4","4","6","2"
"ATCG00580","39","20","21","15","54","21"
"ATCG00590","3","6","1","1","7","3"
"ATCG00600","1","3","3","5","5","4"
"ATCG00610","1","3","1","3","5","1"
"ATCG00620","7","6","7","0","9","8"
"ATCG00630","86","56","60","46","80","51"
"ATCG00640","19","19","12","4","11","7"
"ATCG00650","18","17","8","2","14","13"
"ATCG00660","13","12","16","8","23","13"
"ATCG00065","13","8","6","3","13","11"
"ATCG00670","288","205","122","74","237","90"
"ATCG00680","184","218","81","116","262","123"
"ATCG00690","20","10","8","9","30","11"
"ATCG00700","10","10","7","2","13","7"
"ATCG00710","18","28","7","6","20","19"
"ATCG00720","60","86","24","38","78","65"
"ATCG00730","38","52","15","28","63","44"
"ATCG00740","74","80","29","25","54","24"
"ATCG00750","53","66","29","15","35","16"
"ATCG00760","32","24","9","8","19","13"
"ATCG00770","61","65","31","10","21","20"
"ATCG00780","122","99","71","22","73","48"
"ATCG00790","136","154","75","39","109","63"
"ATCG00800","130","116","73","31","94","40"
"ATCG00810","46","78","32","18","52","27"
"ATCG00820","7","18","5","3","3","3"
"ATCG00830","0","0","0","0","0","0"
"ATCG00840","0","0","0","0","0","0"
"ATCG00850","0","0","0","0","0","0"
"ATCG00860","0","0","0","0","0","0"
"ATCG00870","0","0","0","0","0","0"
"ATCG00880","0","0","0","0","0","0"
"ATCG00890","0","0","0","0","0","0"
"ATCG00900","0","0","0","0","0","0"
"ATCG00905","0","0","0","0","0","0"
"ATCG00910","0","0","0","0","0","0"
"ATCG00920","0","0","0","0","0","0"
"ATCG00930","0","0","0","0","0","0"
"ATCG00940","0","0","0","0","0","0"
"ATCG00950","0","0","0","0","0","0"
"ATCG00960","0","0","0","0","0","0"
"ATCG00970","0","0","0","0","0","0"
"ATCG00980","0","0","0","0","0","0"
"ATCG00990","0","0","0","0","0","0"
"ATCG01000","0","0","0","0","0","0"
"ATCG01010","10","14","5","9","15","12"
"ATCG01020","149","85","66","49","118","48"
"ATCG01030","0","0","0","0","0","0"
"ATCG01040","10","7","4","0","7","3"
"ATCG01050","67","70","27","32","70","42"
"ATCG01060","22","31","8","13","29","10"
"ATCG01070","14","17","9","7","14","9"
"ATCG01080","12","22","5","10","25","13"
"ATCG01090","12","19","4","7","9","12"
"ATCG01100","26","44","13","12","34","27"
"ATCG01110","10","24","7","6","16","12"
"ATCG01120","5","6","2","0","3","2"
"ATCG01130","64","70","28","24","54","34"
"ATCG01140","0","0","0","0","0","0"
"ATCG01150","0","0","0","0","0","0"
"ATCG01160","0","0","0","0","0","0"
"ATCG01170","0","0","0","0","0","0"
"ATCG01180","0","0","0","0","0","0"
"ATCG01190","0","0","0","0","0","0"
"ATCG01200","0","0","0","0","0","0"
"ATCG01210","0","0","0","0","0","0"
"ATCG01220","0","0","0","0","0","0"
"ATCG01230","0","0","0","0","0","0"
"ATCG01240","0","0","0","0","0","0"
"ATCG01250","0","0","0","0","0","0"
"ATCG01260","0","0","0","0","0","0"
"ATCG01270","0","0","0","0","0","0"
"ATCG01280","0","0","0","0","0","0"
"ATCG01290","0","0","0","0","0","0"
"ATCG01300","0","0","0","0","0","0"
"ATCG01310","0","0","0","0","0","0"
"ATMG00010","0","1","0","0","3","0"
"ATMG00020","5987","9072","4613","8629","9949","9932"
"ATMG00030","806","1200","1402","1039","1442","1314"
"ATMG00040","0","0","0","0","0","0"
"ATMG00050","0","0","0","0","0","0"
"ATMG00060","18","22","27","22","45","30"
"ATMG00070","25","35","24","19","41","40"
"ATMG00080","31","27","29","26","30","23"
"ATMG00090","55","62","47","42","60","54"
"ATMG00100","0","0","0","0","0","0"
"ATMG00110","5","6","3","6","7","6"
"ATMG00120","0","0","0","0","0","1"
"ATMG00130","1","1","0","1","1","1"
"ATMG00140","1","0","3","1","0","0"
"ATMG00150","0","0","1","0","1","1"
"ATMG00160","35","40","25","37","66","64"
"ATMG00170","0","0","0","0","0","0"
"ATMG00180","0","1","0","0","0","1"
"ATMG00190","0","0","0","0","0","0"
"ATMG00200","0","0","0","0","0","0"
"ATMG00210","0","0","0","0","0","0"
"ATMG00220","0","0","0","0","0","0"
"ATMG00230","0","0","0","0","0","0"
"ATMG00240","0","0","0","0","0","0"
"ATMG00250","0","0","0","0","0","0"
"ATMG00260","0","0","0","0","0","0"
"ATMG00270","0","0","0","0","0","0"
"ATMG00280","1","1","1","0","0","0"
"ATMG00285","0","0","0","0","1","1"
"ATMG00290","0","0","0","0","0","0"
"ATMG00300","0","0","0","0","0","0"
"ATMG00310","0","0","0","0","0","0"
"ATMG00320","0","0","0","0","0","0"
"ATMG00330","0","0","0","0","0","0"
"ATMG00340","0","0","0","0","0","0"
"ATMG00350","0","0","0","0","0","0"
"ATMG00360","0","0","0","0","0","0"
"ATMG00370","0","0","0","0","0","0"
"ATMG00380","0","0","0","1","0","0"
"ATMG00390","0","0","0","0","0","0"
"ATMG00400","0","0","0","0","0","0"
"ATMG00410","0","0","0","0","0","0"
"ATMG00420","0","0","0","0","0","0"
"ATMG00430","0","0","0","0","0","0"
"ATMG00440","0","0","0","0","0","0"
"ATMG00450","0","0","0","0","0","0"
"ATMG00460","0","0","0","0","0","0"
"ATMG00470","0","0","0","0","0","0"
"ATMG00480","0","0","0","0","0","0"
"ATMG00490","0","0","0","0","0","0"
"ATMG00500","0","0","0","0","0","0"
"ATMG00510","8","5","11","14","8","7"
"ATMG00513","4","4","5","2","6","5"
"ATMG00516","7","8","6","5","10","7"
"ATMG00520","2","1","0","0","2","2"
"ATMG00530","0","0","0","0","0","0"
"ATMG00540","0","0","0","0","0","0"
"ATMG00550","0","0","0","0","0","0"
"ATMG00560","4","2","2","2","2","3"
"ATMG00570","1","1","1","0","2","0"
"ATMG00580","0","0","0","1","0","4"
"ATMG00590","0","0","0","0","0","0"
"ATMG00600","0","0","0","0","0","0"
"ATMG00610","0","0","0","0","0","0"
"ATMG00620","0","0","0","0","0","0"
"ATMG00630","0","2","3","0","2","2"
"ATMG00640","29","45","28","26","56","38"
"ATMG00650","18","20","12","5","25","20"
"ATMG00660","26","21","33","12","16","20"
"ATMG00665","1","1","0","0","0","0"
"ATMG00670","2","4","2","2","5","2"
"ATMG00680","0","0","0","1","2","0"
"ATMG00690","6","7","10","5","14","20"
"ATMG00700","0","0","0","0","0","0"
"ATMG00710","0","0","0","0","0","0"
"ATMG00720","0","0","0","0","0","0"
"ATMG00730","0","0","0","0","0","0"
"ATMG00740","0","0","0","0","0","0"
"ATMG00750","0","0","0","0","0","0"
"ATMG00760","0","0","0","0","0","0"
