"gene_name","Col0_0h_rep1","Col0_0h_rep2","Col0_0h_rep3","Col0_24h_rep1","Col0_24h_rep2","Col0_24h_rep3"
"AT1G01010","569","857","1167","1265","1227","1336"
"AT1G01020","327","378","380","346","413","315"
"AT1G01030","106","102","79","53","67","33"
"AT1G01040","1704","1895","2012","2051","2609","1969"
"AT1G01046","12","9","15","8","16","15"
"AT1G01050","4059","3067","2852","2248","2528","1756"
"AT1G01060","1272","4948","4013","4055","6326","4606"
"AT1G01070","472","411","279","553","449","400"
"AT1G01073","0","0","2","0","0","1"
"AT1G01080","1509","1225","1477","637","821","572"
"AT1G01090","6108","6960","5845","6768","6620","5252"
"AT1G01100","3239","3613","4091","2760","3085","2762"
"AT1G01110","414","380","380","316","286","224"
"AT1G01115","0","0","0","0","0","0"
"AT1G01120","14561","17925","17114","22961","19709","19601"
"AT1G01130","50","67","113","57","67","53"
"AT1G01140","3761","2564","1625","2530","1998","1710"
"AT1G01150","1","2","5","1","1","4"
"AT1G01160","783","831","824","930","1021","792"
"AT1G01170","1876","1337","859","823","1008","573"
"AT1G01180","641","1019","698","1853","1780","1809"
"AT1G01183","0","0","3","0","0","0"
"AT1G01190","19","28","59","67","63","48"
"AT1G01200","336","276","338","332","200","200"
"AT1G01210","154","152","225","201","217","210"
"AT1G01220","926","870","1065","722","799","642"
"AT1G01225","78","110","142","112","108","67"
"AT1G01230","1673","1550","1467","1574","1540","1395"
"AT1G01240","1103","1012","875","1042","1265","904"
"AT1G01250","3","4","8","2","5","5"
"AT1G01260","1108","979","1168","1174","1371","1168"
"AT1G01270","0","0","0","0","0","0"
"AT1G01280","0","0","0","0","0","0"
"AT1G01290","377","375","502","397","524","423"
"AT1G01300","4234","3574","3239","3397","2678","2452"
"AT1G01305","0","0","0","0","0","0"
"AT1G01310","1","1","5","1","1","1"
"AT1G01320","9647","10618","9179","3595","6348","2878"
"AT1G01340","160","645","862","873","986","1086"
"AT1G01350","884","895","875","835","939","747"
"AT1G01355","6","4","4","10","5","4"
"AT1G01360","668","556","585","576","688","616"
"AT1G01370","93","89","119","112","108","80"
"AT1G01380","225","108","127","63","53","36"
"AT1G01390","725","564","551","363","424","187"
"AT1G01400","0","0","2","1","0","0"
"AT1G01410","0","0","0","0","0","0"
"AT1G01420","109","150","204","153","169","123"
"AT1G01430","3086","3218","3336","4121","4012","3459"
"AT1G01440","1023","1085","1195","1491","1439","1284"
"AT1G01448","416","400","329","415","467","307"
"AT1G01450","0","0","0","0","0","0"
"AT1G01453","20","10","23","1","1","0"
"AT1G01460","0","1","0","0","3","4"
"AT1G01470","2413","2347","1411","1605","1614","1729"
"AT1G01471","0","0","0","0","0","0"
"AT1G01480","148","379","618","186","372","391"
"AT1G01490","1865","2122","2301","2827","3663","3803"
"AT1G01500","254","315","349","458","490","460"
"AT1G01510","1882","1522","1383","1549","1440","1087"
"AT1G01520","33","21","8","12","6","6"
"AT1G01530","0","0","0","0","0","1"
"AT1G01540","4095","3476","3279","2950","2940","2156"
"AT1G01550","5470","6370","7338","8179","9534","8893"
"AT1G01560","4","175","505","158","359","385"
"AT1G01570","68","75","70","67","55","47"
"AT1G01580","53","28","33","119","5","9"
"AT1G01590","2","3","6","1","0","0"
"AT1G01600","1138","1203","1252","898","767","702"
"AT1G01610","2602","3708","3235","2678","2922","2717"
"AT1G01620","49507","49596","28378","60131","51173","44171"
"AT1G01630","1791","1825","2172","2076","2081","1900"
"AT1G01640","217","313","305","624","498","373"
"AT1G01650","1816","1506","1314","1740","1670","1412"
"AT1G01660","33","12","33","28","8","7"
"AT1G01670","25","8","6","50","19","14"
"AT1G01680","22","79","194","77","449","521"
"AT1G01690","124","117","135","118","141","92"
"AT1G01695","5","2","8","3","3","5"
"AT1G01700","118","83","88","62","97","74"
"AT1G01710","1352","1397","1546","1275","1450","1432"
"AT1G01720","1865","2093","1545","1778","2242","2206"
"AT1G01725","375","253","233","303","305","250"
"AT1G01730","811","845","821","1170","1196","1126"
"AT1G01740","86","129","150","104","155","148"
"AT1G01750","165","93","164","100","51","28"
"AT1G01760","144","113","129","135","127","76"
"AT1G01770","1540","1133","747","1076","1167","757"
"AT1G01780","3082","2102","1523","1008","1253","814"
"AT1G01790","1690","1799","1571","1356","1496","1081"
"AT1G01800","2432","2188","2091","2060","2055","1824"
"AT1G01810","8","13","26","13","21","18"
"AT1G01820","2459","2222","2035","2571","2840","2604"
"AT1G01830","1035","782","900","903","877","815"
"AT1G01840","21","18","24","14","13","14"
"AT1G01860","308","240","219","153","182","133"
"AT1G01870","0","0","0","0","0","0"
"AT1G01880","54","52","67","53","56","50"
"AT1G01890","0","0","0","0","0","0"
"AT1G01900","660","714","587","541","506","407"
"AT1G01910","1551","1404","1481","1392","1487","1283"
"AT1G01920","384","397","407","339","419","279"
"AT1G01930","686","671","536","574","679","516"
"AT1G01940","259","284","435","270","344","315"
"AT1G01950","1431","1359","1481","1397","1398","1001"
"AT1G01960","6232","5533","4927","5470","5079","4222"
"AT1G01970","704","641","466","362","455","294"
"AT1G01980","0","0","0","0","2","1"
"AT1G01990","432","490","478","678","719","600"
"AT1G02000","571","641","565","746","720","689"
"AT1G02010","1209","897","661","518","692","424"
"AT1G02020","533","549","411","559","573","494"
"AT1G02030","28","51","73","32","32","23"
"AT1G02040","1","0","1","0","0","0"
"AT1G02050","214","220","220","179","226","181"
"AT1G02060","242","269","255","294","275","208"
"AT1G02065","3","9","7","0","7","3"
"AT1G02070","7","2","3","2","6","2"
"AT1G02074","6","4","3","3","5","9"
"AT1G02080","8144","8056","7094","7868","7866","6355"
"AT1G02090","1040","1052","1236","1122","1159","958"
"AT1G02100","2263","2092","1891","2352","2554","2001"
"AT1G02110","1071","1041","892","751","769","536"
"AT1G02120","3087","3519","3459","5757","5595","5144"
"AT1G02130","1771","1520","1553","1572","1789","1463"
"AT1G02136","0","0","0","0","0","0"
"AT1G02140","2940","2910","3022","3369","3600","3045"
"AT1G02145","722","753","641","746","891","614"
"AT1G02150","3265","3025","2275","2073","2547","1393"
"AT1G02160","542","475","527","351","415","376"
"AT1G02170","1240","1442","1600","1426","1632","1702"
"AT1G02180","160","178","162","127","105","105"
"AT1G02190","31","14","20","5","6","2"
"AT1G02205","9090","5811","5377","3025","3390","2949"
"AT1G02210","0","0","0","0","0","0"
"AT1G02220","485","598","1227","634","1207","1171"
"AT1G02228.1","0","0","0","0","0","0"
"AT1G02230","96","106","122","445","495","494"
"AT1G02250","3","2","2","1","6","5"
"AT1G02260","871","881","859","907","1159","1016"
"AT1G02270","687","694","818","731","830","796"
"AT1G02280","6102","5346","3940","2251","3152","1558"
"AT1G02290","444","372","427","386","382","263"
"AT1G02300","646","526","393","378","622","292"
"AT1G02305","7965","6997","4195","8316","7896","6331"
"AT1G02310","49","55","36","16","31","34"
"AT1G02320","1","0","1","1","0","0"
"AT1G02330","1054","936","1079","846","928","774"
"AT1G02335","379","700","318","701","563","631"
"AT1G02340","2479","2381","2155","3707","3598","2946"
"AT1G02350","21","17","29","16","25","18"
"AT1G02360","1090","2690","4454","2056","2978","3825"
"AT1G02370","88","89","140","99","161","102"
"AT1G02380","31","32","50","30","43","34"
"AT1G02390","36","194","336","133","324","356"
"AT1G02391","0","0","0","0","0","0"
"AT1G02400","655","1181","1918","861","1530","1459"
"AT1G02405","9","7","18","8","24","19"
"AT1G02410","711","649","706","551","618","519"
"AT1G02420","111","115","135","121","119","86"
"AT1G02430","66","69","81","95","90","85"
"AT1G02440","5","14","17","88","44","55"
"AT1G02450","8","22","27","976","665","725"
"AT1G02460","205","140","120","87","62","50"
"AT1G02470","57","26","21","72","158","110"
"AT1G02475","390","388","437","366","472","323"
"AT1G02480","0","0","0","0","0","0"
"AT1G02490","1","0","3","0","1","0"
"AT1G02500","19837","21344","20975","25428","23681","18787"
"AT1G02510","1","0","1","0","0","0"
"AT1G02520","832","3867","5958","1199","3348","3346"
"AT1G02530","11","13","7","6","6","7"
"AT1G02540","0","0","0","0","0","0"
"AT1G02550","0","0","1","0","0","0"
"AT1G02560","3004","3275","3531","2611","2840","2135"
"AT1G02570","32","28","30","2","3","10"
"AT1G02575","20","9","9","8","5","4"
"AT1G02580","35","73","138","120","176","239"
"AT1G02590","0","0","0","0","0","0"
"AT1G02600","0","0","0","0","0","0"
"AT1G02610","324","212","126","282","301","223"
"AT1G02620","54","36","34","33","28","11"
"AT1G02630","25","27","9","8","7","10"
"AT1G02640","7188","6902","5527","4093","3553","2211"
"AT1G02650","29","57","46","77","83","89"
"AT1G02660","1398","1596","958","2286","2431","2015"
"AT1G02670","78","67","67","72","66","43"
"AT1G02680","451","365","295","322","388","291"
"AT1G02681","1","1","1","0","1","0"
"AT1G02690","383","433","432","492","415","406"
"AT1G02700","71","53","13","23","11","8"
"AT1G02710","26","33","19","31","33","27"
"AT1G02720","532","454","496","365","323","226"
"AT1G02730","693","954","1187","1230","1198","991"
"AT1G02740","284","292","577","319","462","375"
"AT1G02750","707","660","723","551","753","600"
"AT1G02760","0","0","0","0","0","0"
"AT1G02770","72","34","21","39","21","34"
"AT1G02780","11516","12001","15926","9569","10563","8786"
"AT1G02790","0","0","0","0","2","0"
"AT1G02800","665","639","974","235","358","259"
"AT1G02810","589","1331","2336","944","1661","1987"
"AT1G02813","1","4","12","0","0","2"
"AT1G02816","1386","1188","1241","1147","1182","1144"
"AT1G02820","8","11","10","25","25","14"
"AT1G02830","0","0","0","0","0","0"
"AT1G02840","7361","6219","4800","5525","7399","4937"
"AT1G02850","1680","2159","2448","2357","3566","2921"
"AT1G02860","836","880","538","1373","1306","1240"
"AT1G02870","320","282","448","255","345","258"
"AT1G02880","737","817","961","744","932","877"
"AT1G02890","5668","5699","5184","6151","6084","5209"
"AT1G02900","1160","1535","2225","1959","2095","2382"
"AT1G02910","995","1052","894","830","877","699"
"AT1G02920","710","27503","72200","8030","44429","44737"
"AT1G02930","368","20294","47028","3310","24889","22931"
"AT1G02940","0","9","68","0","7","4"
"AT1G02950","214","369","272","233","178","127"
"AT1G02952","0","2","0","1","0","0"
"AT1G02960","807","713","727","718","867","621"
"AT1G02965","0","0","1","0","0","0"
"AT1G02970","65","87","90","113","76","83"
"AT1G02980","3","14","8","5","10","8"
"AT1G02990","1193","1125","1269","1469","1428","1246"
"AT1G03000","1172","1285","972","1034","1045","843"
"AT1G03010","56","70","72","48","42","36"
"AT1G03020","0","0","0","0","0","0"
"AT1G03022","0","0","0","0","0","0"
"AT1G03030","743","633","673","596","629","561"
"AT1G03040","1168","1138","1290","1239","1330","1128"
"AT1G03050","0","0","0","0","0","0"
"AT1G03055","1","2","3","1","0","2"
"AT1G03060","3800","4223","4375","5418","5576","4835"
"AT1G03070","60","63","42","54","67","98"
"AT1G03080","6417","6043","5405","7663","7423","6214"
"AT1G03090","14315","10783","2926","16048","17556","10046"
"AT1G03100","56","70","68","44","73","66"
"AT1G03103","0","0","0","0","0","0"
"AT1G03106","126","64","42","44","37","25"
"AT1G03110","197","278","346","231","252","201"
"AT1G03120","62","38","24","28","30","22"
"AT1G03130","2113","2353","1904","2937","2657","1437"
"AT1G03140","3287","2883","2032","2635","2779","2010"
"AT1G03150","451","386","412","433","446","372"
"AT1G03160","2142","1650","1437","1078","1330","798"
"AT1G03170","43","40","55","30","26","16"
"AT1G03180","109","81","107","100","96","85"
"AT1G03190","421","466","481","465","523","466"
"AT1G03200","98","84","82","117","153","80"
"AT1G03210","965","1133","1213","2152","2206","2022"
"AT1G03220","10759","17930","14280","19998","20724","24735"
"AT1G03230","1990","2248","2413","2448","1817","1728"
"AT1G03240","6","5","3","1","2","2"
"AT1G03250","678","669","819","735","808","766"
"AT1G03260","498","427","465","526","446","413"
"AT1G03270","63","63","86","29","44","25"
"AT1G03280","1768","1761","1844","2041","2085","1844"
"AT1G03290","1834","1620","1077","2558","2598","2035"
"AT1G03300","95","89","98","98","97","55"
"AT1G03310","521","447","514","287","355","205"
"AT1G03320","39","21","35","3","2","2"
"AT1G03330","807","804","822","768","858","691"
"AT1G03340","112","118","113","178","139","123"
"AT1G03350","2737","2601","2768","2702","2821","2400"
"AT1G03360","130","187","221","118","180","163"
"AT1G03365","923","763","685","728","813","579"
"AT1G03370","1442","1928","2403","3619","3289","3263"
"AT1G03380","3246","3265","2235","4328","4362","3862"
"AT1G03390","0","1","1","5","3","4"
"AT1G03400","44","112","70","1237","976","1004"
"AT1G03410","350","284","139","482","252","155"
"AT1G03420.1","1","1","1","3","0","0"
"AT1G03430","783","769","790","899","993","805"
"AT1G03440","341","370","362","342","442","358"
"AT1G03445","34","39","65","112","75","56"
"AT1G03457","758","665","737","1090","756","722"
"AT1G03470","596","450","390","470","518","396"
"AT1G03475","3829","3728","4262","2754","2679","2143"
"AT1G03490","2","2","5","2","0","1"
"AT1G03495","61","124","225","213","280","283"
"AT1G03502","1","0","2","0","1","0"
"AT1G03506","10","12","17","11","10","9"
"AT1G03510","37","50","66","28","42","39"
"AT1G03515","0","0","0","0","0","0"
"AT1G03520","935","911","799","741","874","634"
"AT1G03530","282","362","463","354","386","358"
"AT1G03540","38","37","52","45","43","50"
"AT1G03550","192","193","212","185","266","180"
"AT1G03545","0","1","2","4","1","0"
"AT1G03560","314","289","323","247","318","243"
"AT1G03570","0","0","0","0","0","0"
"AT1G03580","34","41","27","55","53","39"
"AT1G03590","2863","2609","2528","2647","2728","2169"
"AT1G03600","3460","3476","1933","2605","3222","1769"
"AT1G03610","1989","1748","1251","2437","2646","1980"
"AT1G03620","35","36","35","59","65","61"
"AT1G03630","1310","1207","1319","344","461","272"
"AT1G03640","0","0","0","0","0","0"
"AT1G03650","30","63","64","51","80","68"
"AT1G03660","55","165","287","42","112","136"
"AT1G03670","0","0","1","0","0","0"
"AT1G03680","1786","1608","1522","1176","1211","768"
"AT1G03687","372","353","399","231","271","176"
"AT1G03700","37","129","147","33","70","85"
"AT1G03710","1","4","2","0","4","2"
"AT1G03720","0","0","0","0","0","0"
"AT1G03730","368","543","665","542","675","705"
"AT1G03740","1455","2398","3431","3501","3536","3766"
"AT1G03743","1","0","0","0","0","0"
"AT1G03746","1","1","0","0","1","0"
"AT1G03750","373","330","319","413","426","310"
"AT1G03760","194","177","244","243","316","257"
"AT1G03770","348","360","446","373","427","363"
"AT1G03780","275","323","421","493","349","317"
"AT1G03790","1242","1086","588","1102","1488","1782"
"AT1G03800","93","103","78","80","67","72"
"AT1G03810","0","0","0","0","0","1"
"AT1G03820","95","169","376","153","348","249"
"AT1G03830","324","291","347","214","267","219"
"AT1G03840","94","99","101","72","67","41"
"AT1G03850","1308","1743","940","5681","6066","6579"
"AT1G03860","1093","1237","1507","1224","1375","1196"
"AT1G03870","27446","29883","26761","38263","27239","26560"
"AT1G03880","32","92","148","357","3","25"
"AT1G03890","0","2","11","3","0","1"
"AT1G03900","5608","5108","5013","6204","5709","5138"
"AT1G03905","237","245","331","212","244","231"
"AT1G03910","3364","2984","2247","2621","2623","1820"
"AT1G03920","359","307","444","378","286","256"
"AT1G03930","1536","1484","1429","1557","1665","1284"
"AT1G03935","41","64","64","42","43","43"
"AT1G03940","49","113","201","139","166","174"
"AT1G03950","520","545","635","680","837","712"
"AT1G03960","310","272","325","308","403","277"
"AT1G03970","204","189","143","282","297","220"
"AT1G03980","14","18","17","46","62","62"
"AT1G03982","1","0","0","0","0","0"
"AT1G03990","195","202","191","250","251","204"
"AT1G04000","361","400","341","410","407","364"
"AT1G04010","521","470","526","482","490","399"
"AT1G04020","261","207","325","285","210","184"
"AT1G04030","244","311","327","430","454","349"
"AT1G04040","8391","6191","7327","4956","3420","2789"
"AT1G04050","128","152","172","164","178","138"
"AT1G04070","112","137","168","133","136","155"
"AT1G04080","3060","3441","3098","2968","3422","2680"
"AT1G04090","72","54","59","65","70","62"
"AT1G04100","158","264","324","262","388","408"
"AT1G04110","19","12","60","13","17","8"
"AT1G04120","5232","4712","4508","5672","5179","4669"
"AT1G04130","206","228","274","168","228","179"
"AT1G04140","6251","5228","4475","5860","5885","4677"
"AT1G04150","7","5","5","8","3","0"
"AT1G04160","481","473","547","358","279","221"
"AT1G04170","3482","3360","3971","3132","3466","2903"
"AT1G04171","0","0","0","0","0","0"
"AT1G04180","57","58","74","48","52","37"
"AT1G04190","854","829","1040","857","964","878"
"AT1G04200","1299","1324","1758","1420","1466","1320"
"AT1G04210","1889","1935","1913","2091","2114","1667"
"AT1G04220","3627","4627","4431","3003","3129","2669"
"AT1G04230","354","323","336","355","413","312"
"AT1G04240","5604","4567","5435","5295","5510","4161"
"AT1G04250","11188","10807","15760","12507","10523","9847"
"AT1G04260","459","545","528","745","674","668"
"AT1G04270","6258","5992","7479","4628","5171","4221"
"AT1G04280","3227","3367","3438","4099","4584","3982"
"AT1G04290","114","77","140","68","72","59"
"AT1G04295","0","0","0","0","0","0"
"AT1G04300","8177","6631","4197","6532","7756","4587"
"AT1G04310","1993","1363","1058","1519","1666","997"
"AT1G04320","0","0","0","0","0","0"
"AT1G04330","9","6","12","6","9","5"
"AT1G04340","629","607","670","540","525","444"
"AT1G04350","166","173","109","242","180","151"
"AT1G04360","162","307","412","248","291","210"
"AT1G04370","0","1","1","0","0","0"
"AT1G04380","2","1","6","6","1","3"
"AT1G04390","467","465","418","486","504","419"
"AT1G04400","9745","8409","6701","9656","9768","7778"
"AT1G04410","30595","37490","38899","39358","38199","37040"
"AT1G04420","1564","1554","1261","740","935","470"
"AT1G04425","57","25","46","13","11","4"
"AT1G04430","8700","6313","6642","5265","4641","3307"
"AT1G04440","3742","4270","4017","5593","5564","5253"
"AT1G04445","8","11","5","24","13","11"
"AT1G04450","0","0","0","0","0","0"
"AT1G04457","0","0","0","0","0","0"
"AT1G04470","1","1","0","1","0","0"
"AT1G04480","1558","1752","2123","1474","1509","1349"
"AT1G04490","99","57","88","66","32","37"
"AT1G04500","3","2","3","2","5","2"
"AT1G04501","0","0","0","0","0","0"
"AT1G04510","1899","1736","1644","1755","1757","1504"
"AT1G04520","1019","682","935","447","314","217"
"AT1G04530","1631","1471","1511","1445","1619","1139"
"AT1G04540","241","186","184","149","180","106"
"AT1G04550","691","722","759","726","894","609"
"AT1G04555","200","245","268","260","248","227"
"AT1G04560","144","152","43","21","9","7"
"AT1G04570","16","22","30","13","31","22"
"AT1G04580","4","1","2","4","3","1"
"AT1G04590","509","464","503","395","507","377"
"AT1G04600","19","18","36","13","11","8"
"AT1G04610","616","410","386","458","369","260"
"AT1G04620","2408","1657","1319","831","760","450"
"AT1G04625","0","0","0","0","1","0"
"AT1G04630","712","815","677","672","536","519"
"AT1G04635","31","36","37","19","28","25"
"AT1G04640","657","505","423","160","200","121"
"AT1G04645","0","0","0","1","0","0"
"AT1G04650","52","46","73","66","49","52"
"AT1G04660","15","16","10","75","61","35"
"AT1G04670","1","1","1","0","1","0"
"AT1G04680","7778","6359","7710","7170","5650","4826"
"AT1G04684","0","0","0","0","0","0"
"AT1G04690","3264","2957","3088","2925","2886","2487"
"AT1G04700","117","89","117","113","80","60"
"AT1G04710","346","335","423","218","253","200"
"AT1G04720","0","0","0","0","0","0"
"AT1G04730","153","167","285","207","169","147"
"AT1G04750","4320","3616","3881","4156","3856","3141"
"AT1G04760","34","52","47","49","51","38"
"AT1G04770","417","620","947","413","699","704"
"AT1G04778","23","38","36","46","48","30"
"AT1G04780","2577","2504","3052","2989","3264","2905"
"AT1G04790","1224","1115","951","910","932","806"
"AT1G04800","1378","1343","1895","2153","1662","1264"
"AT1G04810","4250","3817","3370","3685","3770","3152"
"AT1G04820","32991","28281","28665","35992","24996","18329"
"AT1G04830","1107","1036","953","1244","1264","1011"
"AT1G04840","21","24","40","25","29","33"
"AT1G04850","5686","4704","5003","4222","4284","3369"
"AT1G04860","1496","1475","1505","1460","1517","1290"
"AT1G04870","484","540","749","640","670","606"
"AT1G04880","10","8","12","8","8","2"
"AT1G04890","0","0","0","0","0","0"
"AT1G04900","230","184","237","236","188","157"
"AT1G04910","2017","1683","1820","1589","1590","1202"
"AT1G04920","82","34","39","35","29","17"
"AT1G04930","112","103","143","145","160","120"
"AT1G04945","103","151","200","139","202","218"
"AT1G04940","47","63","51","30","49","37"
"AT1G04950","1141","1008","736","959","1006","664"
"AT1G04960","973","1132","1167","1251","1387","1305"
"AT1G04970","2112","2102","1705","2618","2753","2497"
"AT1G04980","451","416","690","467","514","520"
"AT1G04985","814","816","743","882","872","644"
"AT1G04990","1365","1215","1297","1053","1017","951"
"AT1G05000","454","816","1550","581","1580","1820"
"AT1G05010","5174","5642","7114","11136","12440","10741"
"AT1G05020","73","47","75","146","179","141"
"AT1G05030","418","380","329","477","495","401"
"AT1G05040","0","0","0","0","0","0"
"AT1G05055","315","302","286","331","308","295"
"AT1G05060","360","1062","2028","590","1793","1674"
"AT1G05061","12","9","15","11","19","11"
"AT1G05065","21","39","64","33","46","41"
"AT1G05070","643","544","470","462","477","355"
"AT1G05080","0","0","0","0","0","0"
"AT1G05085","0","0","0","0","0","0"
"AT1G05090","129","95","96","85","101","93"
"AT1G05100","51","77","39","52","66","53"
"AT1G05120","1512","1506","1182","1541","1548","1347"
"AT1G05135","4909","5262","8524","7586","6762","5951"
"AT1G05136","1","0","1","1","0","1"
"AT1G05140","1070","1003","695","665","850","602"
"AT1G05150","3609","3338","2744","3394","2880","2210"
"AT1G05160","580","430","375","407","448","275"
"AT1G05170","1306","1111","1145","1236","1005","952"
"AT1G05180","1041","1179","1302","1296","1335","1222"
"AT1G05190","8336","6900","6591","3300","4480","2117"
"AT1G05200","290","396","385","383","653","508"
"AT1G05205","433","427","560","437","441","389"
"AT1G05210","190","154","163","135","95","79"
"AT1G05220","59","39","31","38","33","53"
"AT1G05230","661","784","856","1369","1218","1190"
"AT1G05240","0","0","0","0","0","0"
"AT1G05250","0","0","0","0","0","0"
"AT1G05260","7889","7635","7817","7824","6478","6457"
"AT1G05270","2295","1909","1500","1763","1859","1395"
"AT1G05280","109","87","86","60","3","2"
"AT1G05290","0","0","0","0","0","0"
"AT1G05291","0","0","0","0","0","0"
"AT1G05300","112","301","250","242","347","271"
"AT1G05310","93","167","60","182","87","163"
"AT1G05320","2535","2220","2163","2520","2278","2105"
"AT1G05330","11","6","6","9","7","6"
"AT1G05340","670","1213","853","773","1284","1384"
"AT1G05350","1325","1289","1334","1214","1148","910"
"AT1G05360","1268","996","711","587","738","494"
"AT1G05370","43","45","45","38","45","17"
"AT1G05380","2964","2607","2260","2816","2800","2053"
"AT1G05385","448","421","364","222","333","189"
"AT1G05390","0","0","0","0","0","0"
"AT1G05400","15","32","38","38","47","54"
"AT1G05410","566","537","497","470","510","374"
"AT1G05420","85","96","93","89","72","73"
"AT1G05430","654","708","909","753","835","681"
"AT1G05440","37","26","34","49","29","24"
"AT1G05450","31","124","192","30","79","91"
"AT1G05460","336","324","370","299","308","207"
"AT1G05470","394","401","412","448","567","404"
"AT1G05490","262","309","369","223","189","185"
"AT1G05500","2110","2172","2091","2270","1986","1781"
"AT1G05510","65","70","35","29","4","4"
"AT1G05520","2741","2425","2279","2471","2405","1996"
"AT1G05530","141","74","22","32","5","3"
"AT1G05540","9","12","7","5","2","2"
"AT1G05550","4","6","2","4","1","1"
"AT1G05560","412","386","259","203","375","302"
"AT1G05562","0","0","0","0","0","0"
"AT1G05570","7360","6846","3885","18735","12343","12631"
"AT1G05575","92","106","131","281","201","253"
"AT1G05577","5","11","12","9","14","10"
"AT1G05580","0","0","0","0","0","0"
"AT1G05590","1214","742","868","574","527","432"
"AT1G05600","345","307","273","243","283","211"
"AT1G05610","13","21","18","16","22","14"
"AT1G05615","0","0","0","0","1","0"
"AT1G05620","1487","1185","1338","970","809","896"
"AT1G05630","539","422","541","534","509","411"
"AT1G05640","241","193","204","138","130","117"
"AT1G05650","286","15","1","177","4","1"
"AT1G05660","635","88","7","200","2","3"
"AT1G05670","172","186","278","186","245","195"
"AT1G05675","11","689","1354","53","464","493"
"AT1G05680","1368","5767","7208","330","2967","3344"
"AT1G05690","33","26","27","45","33","30"
"AT1G05700","25","108","147","453","280","327"
"AT1G05710","279","640","1120","573","905","915"
"AT1G05720","729","609","629","712","671","610"
"AT1G05730","15","16","49","9","31","20"
"AT1G05740","1","1","2","0","1","2"
"AT1G05750","140","143","130","143","154","118"
"AT1G05760","0","0","0","0","0","0"
"AT1G05770","29","41","35","44","27","20"
"AT1G05780","408","334","352","282","330","244"
"AT1G05785","312","341","360","367","437","376"
"AT1G05790","1942","1623","1207","1893","1835","1360"
"AT1G05800","0","0","0","0","0","0"
"AT1G05805","1564","1303","1133","1488","1575","1246"
"AT1G05810","2388","1666","1590","1355","1441","1120"
"AT1G05820","154","123","130","141","162","118"
"AT1G05830","2052","1951","1845","2139","2670","1801"
"AT1G05835","2932","1646","1253","1473","1291","926"
"AT1G05840","2320","1916","1199","2413","2484","1927"
"AT1G05850","29578","29904","33644","35553","31258","28047"
"AT1G05860","421","371","342","337","395","301"
"AT1G05870","2088","1495","1674","1125","1335","915"
"AT1G05880","0","171","399","29","287","297"
"AT1G05890","6372","5492","4081","6564","7116","5025"
"AT1G05894","30","22","16","11","15","14"
"AT1G05900","408","415","445","366","459","353"
"AT1G05910","895","935","1090","1043","1028","969"
"AT1G05920","0","0","0","0","0","0"
"AT1G05925","0","0","0","0","0","0"
"AT1G05930","0","0","0","0","0","0"
"AT1G05940","1358","1405","1177","1683","1690","1542"
"AT1G05950","143","178","264","207","190","145"
"AT1G05960","6106","5340","5056","4765","5324","4005"
"AT1G05970","225","236","153","212","202","160"
"AT1G05980","0","0","0","0","0","0"
"AT1G05990","10","4","11","0","1","0"
"AT1G06000","332","341","404","382","320","389"
"AT1G06002","0","0","0","0","0","0"
"AT1G06010","379","330","298","247","275","228"
"AT1G06020","12","19","16","21","12","20"
"AT1G06030","1","4","2","2","5","4"
"AT1G06040","1398","2691","1633","2715","4393","3228"
"AT1G06050","190","256","290","294","383","359"
"AT1G06060","1212","1154","1177","1345","1457","1297"
"AT1G06070","1225","1042","1053","1041","1143","854"
"AT1G06080","1214","1479","1726","1841","2467","1570"
"AT1G06090","740","647","474","491","113","117"
"AT1G06100","0","0","2","1","1","0"
"AT1G06110","2657","2484","1699","2826","2855","2207"
"AT1G06120","208","109","44","25","8","7"
"AT1G06130","805","1084","1470","843","1297","1152"
"AT1G06135","0","42","172","2","35","42"
"AT1G06137","0","8","23","1","7","7"
"AT1G06140","20","22","41","29","41","41"
"AT1G06150","48","52","72","78","66","65"
"AT1G06149","0","0","0","0","0","0"
"AT1G06148","3","1","1","2","13","7"
"AT1G06160","2","8","37","4","8","9"
"AT1G06170","3","11","1","4","11","3"
"AT1G06180","99","100","161","112","142","114"
"AT1G06190","1922","1681","1727","583","845","501"
"AT1G06200","1921","1777","1539","1676","1809","1457"
"AT1G06210","1294","1133","1286","1209","1104","983"
"AT1G06220","2130","2180","2174","1966","2021","1584"
"AT1G06225","1","0","1","1","0","0"
"AT1G06230","2710","2848","2586","3247","3370","2706"
"AT1G06240","252","248","275","152","208","120"
"AT1G06250","80","69","70","37","58","33"
"AT1G06265","254","168","132","111","154","66"
"AT1G06260","0","0","0","0","0","0"
"AT1G06270","72","84","90","80","80","61"
"AT1G06280","0","0","0","0","0","0"
"AT1G06290","4859","4369","4079","3425","3432","2989"
"AT1G06310","26","15","24","14","3","3"
"AT1G06320","34","25","22","5","4","2"
"AT1G06330","53","64","64","21","11","17"
"AT1G06340","14","11","25","13","8","12"
"AT1G06350","1276","1303","1561","340","329","325"
"AT1G06360","2595","1929","2464","1826","1683","1415"
"AT1G06370","204","187","165","126","182","120"
"AT1G06380","133","180","213","202","230","275"
"AT1G06390","4557","3737","3524","3972","3848","3062"
"AT1G06400","3750","3119","2818","3397","3630","3015"
"AT1G06410","6255","6480","5978","7392","6968","6043"
